Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,50,1200,300000,0.5,In-store
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,50,1000,150000,0.3,In-store
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,40,1000,140000,0.35,In-store
Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,45,850,133875,0.35,In-store
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,60,900,162000,0.3,In-store
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,50,1000,125000,0.25,In-store
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,50,1250,312500,0.5,In-store
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,135000,0.3,Outlet
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,40,950,133000,0.35,Outlet
Foot Locker,1185732,1/22/2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,129937.5,0.35,Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,60,900,162000,0.3,Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,50,1000,125000,0.25,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,50,1220,305000,0.5,Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,50,925,138750,0.3,Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,40,950,133000,0.35,Outlet
Foot Locker,1185732,1/28/2020,Northeast,New York,New York,Women's Athletic Footwear,45,800,126000,0.35,Outlet
Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,60,850,153000,0.3,Outlet
